,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
117,7558804,504017.0,0.0235710822093,0.940233236152,"(39.934591194968554, 116.49495896834702)",128.037267574,141,37.8594752187,8.59455782313
118,8778410,198443.0,0.0236302536691,0.940719144801,"(39.936388140161725, 116.34900351699883)",128.358684807,776,37.9722060253,8.66997084548
119,7205751,579157.0,0.023802945904,0.940816326531,"(39.756244384546271, 116.53716295427903)",129.296742792,10,38.1239067055,8.67094266278
120,8254392,97310.0,0.0238319616655,0.94139941691,"(39.966936208445638, 116.41172332942556)",129.454355361,372,38.1716229349,8.70709426628
121,8151436,479204.0,0.0239748500528,0.941593780369,"(39.922911051212935, 116.4240328253224)",130.230519922,56,38.3228377065,8.71253644315
122,6848909,471802.0,0.0241155313219,0.941788143829,"(40.076100628930817, 116.5799531066823)",130.994695497,864,38.5112730807,8.79650145773
123,9077190,177823.0,0.0241685543386,0.942274052478,"(39.937286612758307, 116.31324736225089)",131.28271461,422,38.6003887269,8.83751214772
124,7495294,657686.0,0.0243646622423,0.942274052478,"(40.008265947888589, 116.50257913247363)",132.347965662,37,38.803595724,8.84110787172
125,8170985,656547.0,0.0245604305205,0.942274052478,"(39.90359389038634, 116.42168815943728)",133.411371882,844,39.3598639456,8.9231292517
126,9287735,176438.0,0.0246130405599,0.942759961127,"(39.906289308176099, 116.28804220398594)",133.697147716,497,39.4433430515,8.97142857143
127,7602966,645688.0,0.0248055709165,0.942759961127,"(39.970530098831986, 116.48968347010552)",134.742965662,209,39.6516034985,8.99173955296
128,7436525,632132.0,0.0249940591637,0.942759961127,"(40.011410601976635, 116.50961313012897)",135.766827017,224,39.8245869776,9.01350826045
129,7656797,535324.0,0.0251536813352,0.942857142857,"(39.94941599281222, 116.48323563892146)",136.633888889,145,40.0052478134,9.02759961127
130,7064500,528019.0,0.0253111253118,0.942954324587,"(40.111590296495955, 116.55416178194608)",137.489118886,2,40.1710398445,9.02779397473
131,8254243,237634.0,0.0253819826899,0.943343051506,"(39.899999999999999, 116.41172332942556)",137.874013605,930,40.3163265306,9.11817298348
132,7891849,137189.0,0.0254228895166,0.943828960155,"(39.926055705300989, 116.45509964830012)",138.096218011,524,40.3813411079,9.16909620991
133,6971351,615357.0,0.0256063758175,0.943828960155,"(40.072506738544476, 116.56529894490036)",139.092908973,187,40.6409135083,9.18726919339
134,7573658,503844.0,0.0257566113259,0.943926141885,"(40.006469002695418, 116.49320046893318)",139.908982831,103,40.7551992225,9.19727891156
135,8083087,503219.0,0.0259066604728,0.944023323615,"(40.023090745732254, 116.43223915592029)",140.72404438,3,40.9269193392,9.19757045675
136,4791716,501377.0,0.0260561603746,0.944120505345,"(40.061275831087151, 116.826143024619)",141.536122449,3,41.083090379,9.19786200194
137,8298249,498941.0,0.0262049339133,0.944217687075,"(39.865858041329737, 116.40644783118407)",142.34425494,8,41.2022351798,9.19863945578
138,8337621,210080.0,0.0262675752777,0.944606413994,"(39.950314465408802, 116.40175849941384)",142.68452057,670,41.3125364431,9.26375121477
139,7891865,299999.0,0.0263570285655,0.944897959184,"(39.933243486073671, 116.45509964830012)",143.1704276,1018,41.4597667638,9.36268221574
140,9517826,489470.0,0.0265029780545,0.944995140914,"(39.854627133872413, 116.26049237983588)",143.963219955,94,41.6227405248,9.37181729835
141,8259172,481554.0,0.0266465671615,0.945092322643,"(39.913926325247076, 116.41113716295429)",144.7431908,624,41.7689018465,9.43245869776
142,6829314,381185.0,0.0267602283787,0.945286686103,"(40.074752920035941, 116.58229777256741)",145.360594428,884,41.9840621963,9.51836734694
143,8068393,567349.0,0.0269293997204,0.945286686103,"(40.023090745732254, 116.43399765533412)",146.279527049,30,42.6171039845,9.52128279883
144,7740121,374781.0,0.0270411514017,0.945481049563,"(39.975471698113203, 116.47327080890973)",146.886558147,470,42.7853255588,9.56695821186
145,7084015,373079.0,0.027152395583,0.945675413022,"(40.076999101527399, 116.55181711606097)",147.490832523,81,42.8976676385,9.57482993197
