,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
96,8954804,232458.0,0.0118417893704,850,0.935860058309,"(39.966037735849056, 116.32790152403282)",64.3241723356,850,19.9373177843,10.0906705539
97,8175858,301996.0,0.0119318381208,1086,0.936054421769,"(39.892362982929022, 116.421101992966)",64.813313897,1086,20.1216715258,10.1962099125
98,6795036,346213.0,0.0120350714353,788,0.936345966958,"(40.078346810422282, 116.58640093786636)",65.3740735342,788,20.2433430515,10.2727891156
99,9077098,331652.0,0.0121339629709,960,0.936345966958,"(39.895956873315363, 116.31324736225089)",65.9112487852,960,20.3950437318,10.3660835763
100,8249333,232202.0,0.0122032006427,788,0.936734693878,"(39.894609164420487, 116.41230949589684)",66.2873453191,788,20.5164237123,10.4426627794
101,7979788,485325.0,0.0123479141814,549,0.937414965986,"(39.824977538185081, 116.44454865181712)",67.0734240363,549,20.6904761905,10.4960155491
102,8533427,192726.0,0.012405380954,735,0.937900874636,"(39.89910152740341, 116.37831184056273)",67.3855814707,735,20.7826044704,10.5674441205
103,8273942,250048.0,0.0124799399215,902,0.938095238095,"(39.948068283917337, 116.40937866354045)",67.7905830904,902,20.9277939747,10.6551020408
104,6995836,288221.0,0.0125658812615,860,0.938192419825,"(40.070260557053011, 116.56236811254396)",68.2574133463,860,21.0680272109,10.7386783285
105,7886942,246494.0,0.0126393805022,902,0.938483965015,"(39.922012578616354, 116.4556858147714)",68.6566585682,902,21.1923226433,10.8263362488
106,8768620,291215.0,0.0127262145889,815,0.938678328474,"(39.939083557951484, 116.35017584994139)",69.1283381924,815,21.3418853256,10.9055393586
107,8533404,267666.0,0.0128060268674,904,0.938678328474,"(39.888769092542674, 116.37831184056273)",69.5618756074,904,21.4786200194,10.9933916424
108,7103579,341041.0,0.012907718002,801,0.938775510204,"(40.064420485175198, 116.54947245017586)",70.1142581795,801,21.5972789116,11.071234208
109,7891808,278743.0,0.012990833205,1008,0.938872691934,"(39.907637017070975, 116.45509964830012)",70.5657369615,1008,21.7522837707,11.1691933916
110,8773492,175138.0,0.0130430556121,669,0.939164237123,"(39.927403414195865, 116.34958968347011)",70.8494071914,669,21.8368318756,11.2342079689
111,8807803,197635.0,0.0131019861436,747,0.939358600583,"(39.93863432165319, 116.34548651817117)",71.169515711,747,21.9433430515,11.3068027211
112,9096867,198618.0,0.0131612097847,705,0.939650145773,"(39.975471698113203, 116.31090269636577)",71.4912163913,705,22.061516035,11.3753158406
113,8014378,206325.0,0.0132227314884,823,0.940136054422,"(39.961545372866127, 116.44044548651817)",71.8254000648,823,22.1889212828,11.4552964043
114,6824419,352947.0,0.0133279727377,879,0.940427599611,"(40.076100628930817, 116.58288393903869)",72.3970667315,879,22.389212828,11.5407191448
115,8797972,229996.0,0.0133965526276,769,0.940621963071,"(39.922911051212935, 116.34665885111372)",72.769590217,769,22.5116618076,11.615451895
116,8234614,271454.0,0.0134774944066,958,0.940816326531,"(39.883378256963162, 116.41406799531067)",73.2092630385,958,22.6510204082,11.7085519922
117,8254243,237634.0,0.0135483517847,930,0.94110787172,"(39.899999999999999, 116.41172332942556)",73.5941577583,930,22.7963070943,11.798931001
118,8033922,265702.0,0.0136275784404,1086,0.94120505345,"(39.939982030548066, 116.43810082063307)",74.0245140914,1086,22.9852283771,11.9044703596
119,8714650,247279.0,0.0137013117513,770,0.94139941691,"(39.897753818508534, 116.35662368112544)",74.4250307742,770,23.1373177843,11.9793002915
120,9116259,175679.0,0.013753695473,613,0.941690962099,"(39.885624438454627, 116.30855803048067)",74.7095772595,613,23.2371234208,12.0388726919
121,7886920,236690.0,0.0138242713705,869,0.941788143829,"(39.912129380053905, 116.4556858147714)",75.0929429867,869,23.3771622935,12.1233236152
122,8616669,250905.0,0.0138990858771,912,0.941982507289,"(39.888319856244387, 116.36834701055101)",75.4993326855,912,23.5152575316,12.2119533528
123,9062427,240833.0,0.0139708971286,916,0.941982507289,"(39.906289308176099, 116.31500586166472)",75.8894088111,916,23.6682215743,12.3009718173
124,7754663,225525.0,0.0140381438618,894,0.942176870748,"(39.907187780772688, 116.47151230949591)",76.2546906382,894,23.8084548105,12.3878522838
125,9155507,139840.0,0.01407984116,550,0.942565597668,"(39.91437556154537, 116.30386869871045)",76.4811888565,550,23.8868804665,12.4413022352
126,8704791,212666.0,0.0141432536144,754,0.942857142857,"(39.869451931716078, 116.357796014068)",76.8256430191,754,24.0070942663,12.5145772595
