,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meanVUH
201,6593279,392204.0,0.0365938258938,0.931000971817,"(39.656513926325246, 116.61043376318875)",11925.4215334,3,9.45661257409
202,2887586,391690.0,0.0367106194774,0.931000971817,"(40.596765498652289, 117.05416178194608)",11963.4829463,2,9.45680691867
203,7451415,391133.0,0.0368272469755,0.931000971817,"(40.099460916442048, 116.50785463071513)",12001.4902342,1,9.45690409095
204,6853743,331106.0,0.0369259757055,0.931486880466,"(40.047349505840067, 116.57936694021103)",12033.6645613,1112,9.5649596735
205,4786229,390677.0,0.0370424672341,0.931486880466,"(39.796675651392633, 116.82672919109028)",12071.6275386,4,9.56534836265
206,9454759,389484.0,0.0371586030357,0.931486880466,"(40.127313566936209, 116.26811254396249)",12109.4745894,3,9.56563987951
207,6858640,364560.0,0.0372673070333,0.931681243926,"(40.04690026954178, 116.57878077373975)",12144.8997182,1208,9.68302400155
208,6834195,388439.0,0.0373831312382,0.931681243926,"(40.067115902964957, 116.58171160609614)",12182.645224,796,9.76037314158
209,8219677,386999.0,0.0374985260658,0.931681243926,"(39.774213836477983, 116.41582649472451)",12220.2508017,5,9.76085900301
210,8930371,314597.0,0.037592332165,0.932264334305,"(39.991644204851752, 116.33083235638922)",12250.8209115,798,9.83840248761
211,6623252,362453.0,0.0377004079003,0.932458697765,"(39.919317160826594, 116.60691676436109)",12286.0412982,8,9.8391798659
212,10687992,385669.0,0.0378154061504,0.932458697765,"(39.649775381850851, 116.12039859320048)",12323.5176368,1,9.83927703819
213,8038590,385298.0,0.0379302937762,0.932458697765,"(39.8366576819407, 116.43751465416179)",12360.9579244,3,9.83956855505
214,9992863,373285.0,0.0380415993823,0.932555879495,"(39.823629829290205, 116.20363423212193)",12397.2308814,35,9.84296958507
215,7485504,372226.0,0.0381525892172,0.932653061224,"(40.010961365678348, 116.50375146541619)",12433.4009329,25,9.84539889224
216,8445168,382776.0,0.0382667248365,0.932653061224,"(39.85642407906559, 116.38886283704572)",12470.596152,3,9.8456904091
217,8293512,382273.0,0.038380710472,0.932653061224,"(39.938185085354895, 116.40703399765533)",12507.7424934,28,9.84841123312
218,8650941,381734.0,0.0384945353893,0.932653061224,"(39.882030548068279, 116.36424384525206)",12544.836459,254,9.87309299388
219,7886965,356834.0,0.0386009356589,0.932847424684,"(39.932345013477089, 116.4556858147714)",12579.5108347,1041,9.97424934409
220,9072113,380060.0,0.0387142614251,0.932847424684,"(39.856873315363877, 116.31383352872216)",12616.4421339,10,9.97522106695
